,Reporter,Partner,Trade Value (US$),expor,TradeValue,Weight,Type
0,Uganda,Spain,1356732.0,5320466.0,3338599.0,3338599.0,Directed
1,Uganda,Rep. of Korea,3047408.0,,3047408.0,3047408.0,Directed
2,Uganda,India,54821300.0,27349117.0,41085208.5,41085208.5,Directed
3,Uganda,Italy,4878253.0,1635536.0,3256894.5,3256894.5,Directed
4,Uganda,Greece,215985.0,685184.0,450584.5,450584.5,Directed
5,Uganda,Iran,18000.0,,18000.0,18000.0,Directed
6,Uganda,Cuba,4454.0,,4454.0,4454.0,Directed
7,Uganda,China,67877153.0,,67877153.0,67877153.0,Directed
8,Uganda,Gambia,4689202.0,,4689202.0,4689202.0,Directed
9,Uganda,Australia,439308.0,5079.0,222193.5,222193.5,Directed
10,Uganda,Belgium,1388170.0,2033330.0,1710750.0,1710750.0,Directed
11,Uganda,Japan,13258212.0,8843756.0,11050984.0,11050984.0,Directed
12,Uganda,Saint Vincent and the Grenadines,500.0,,500.0,500.0,Directed
13,Uganda,South Africa,12116683.0,1903948.0,7010315.5,7010315.5,Directed
14,Uganda,Rwanda,77510.0,2033784.0,1055647.0,1055647.0,Directed
15,Uganda,Turkey,2367843.0,4296091.0,3331967.0,3331967.0,Directed
16,Uganda,Dem.Rep. of the Congo,1916725.0,748392.0,1332558.5,1332558.5,Directed
17,Uganda,Niger,235.0,,235.0,235.0,Directed
18,Uganda,Papua New Guinea,400.0,,400.0,400.0,Directed
19,Uganda,Thailand,3643883.0,,3643883.0,3643883.0,Directed
20,Uganda,Russian Federation,2255025.0,,2255025.0,2255025.0,Directed
21,Uganda,Burundi,6459.0,,6459.0,6459.0,Directed
22,Uganda,France,4163217.0,,4163217.0,4163217.0,Directed
23,Uganda,Qatar,752899.0,736136.0,744517.5,744517.5,Directed
24,Uganda,Ukraine,267982.0,718576.0,493279.0,493279.0,Directed
25,Uganda,Egypt,8297821.0,2909080.0,5603450.5,5603450.5,Directed
26,Uganda,Romania,54682.0,1710.0,28196.0,28196.0,Directed
27,Uganda,Kenya,25726561.0,25123866.0,25425213.5,25425213.5,Directed
28,Uganda,Hungary,462497.0,395366.0,428931.5,428931.5,Directed
29,Uganda,Indonesia,19581673.0,,19581673.0,19581673.0,Directed
30,Uganda,Ireland,119311.0,1146215.0,632763.0,632763.0,Directed
31,Uganda,Finland,300421.0,226826.0,263623.5,263623.5,Directed
32,Uganda,Botswana,1460.0,456299.0,228879.5,228879.5,Directed
33,Uganda,Nigeria,315.0,,315.0,315.0,Directed
34,Uganda,Norway,293090.0,161002.0,227046.0,227046.0,Directed
35,Uganda,Morocco,141955.0,,141955.0,141955.0,Directed
36,Uganda,Lithuania,262590.0,50252.0,156421.0,156421.0,Directed
37,Uganda,Senegal,15397.0,,15397.0,15397.0,Directed
38,Uganda,Lebanon,612471.0,,612471.0,612471.0,Directed
39,Uganda,United Arab Emirates,36899150.0,,36899150.0,36899150.0,Directed
40,Uganda,Myanmar,1970.0,,1970.0,1970.0,Directed
41,Uganda,Belarus,39033.0,28700.0,33866.5,33866.5,Directed
42,Uganda,Denmark,376176.0,345026.0,360601.0,360601.0,Directed
43,Uganda,Poland,1041130.0,632098.0,836614.0,836614.0,Directed
44,Uganda,Namibia,4665601.0,1000.0,2333300.5,2333300.5,Directed
45,Uganda,Burkina Faso,13469262.0,,13469262.0,13469262.0,Directed
46,Uganda,World,405797706.0,,405797706.0,405797706.0,Directed
47,Uganda,Angola,321.0,,321.0,321.0,Directed
48,Uganda,Kuwait,36378.0,,36378.0,36378.0,Directed
49,Uganda,Mali,107.0,,107.0,107.0,Directed
50,Uganda,"Other Asia, nes",1712442.0,,1712442.0,1712442.0,Directed
51,Uganda,Netherlands,3633993.0,17644430.0,10639211.5,10639211.5,Directed
52,Uganda,Switzerland,932628.0,1360368.0,1146498.0,1146498.0,Directed
53,Uganda,Slovenia,93200.0,8456.0,50828.0,50828.0,Directed
54,Uganda,Turks and Caicos Isds,7917.0,,7917.0,7917.0,Directed
55,Uganda,Swaziland,2632352.0,,2632352.0,2632352.0,Directed
56,Uganda,New Zealand,1710.0,,1710.0,1710.0,Directed
57,Uganda,Portugal,191459.0,434805.0,313132.0,313132.0,Directed
58,Uganda,Croatia,170262.0,3544.0,86903.0,86903.0,Directed
59,Uganda,Ethiopia,378683.0,,378683.0,378683.0,Directed
